X,Y,Z
-2.1156258583068848,-0.14642088115215302,0.4753800332546234
-2.117417812347412,-0.1547364741563797,0.4758976995944977
-2.118703842163086,-0.16090184450149536,0.4765815734863281
-2.120313882827759,-0.16914290189743042,0.47766023874282837
-2.1219613552093506,-0.17746925354003906,0.4786054193973541
-2.123750686645508,-0.18587493896484375,0.4790319800376892
-2.125912666320801,-0.19432328641414642,0.4789896011352539
-2.1275792121887207,-0.200748011469841,0.4786517918109894
-2.1296956539154053,-0.20931340754032135,0.47787946462631226
-2.131758451461792,-0.21806463599205017,0.47690972685813904
-2.133368968963623,-0.22472767531871796,0.47619709372520447
-2.135601043701172,-0.2337806522846222,0.4751078486442566
-2.139312982559204,-0.2523324489593506,0.4729920029640198
-2.140432596206665,-0.2594594359397888,0.4724288880825043
-2.1416337490081787,-0.26889359951019287,0.4718002378940582
-2.1424758434295654,-0.2781234085559845,0.47121572494506836
-2.142874002456665,-0.2850441634654999,0.47090575098991394
-2.14304518699646,-0.2944015860557556,0.47085919976234436
-2.1429755687713623,-0.30372169613838196,0.4712832272052765
-2.142866611480713,-0.3127824366092682,0.47177737951278687
-2.1425812244415283,-0.319430410861969,0.47207731008529663
-2.141888380050659,-0.32817184925079346,0.4724313020706177
-2.1413121223449707,-0.3345235586166382,0.4728369116783142
-2.140385389328003,-0.34284329414367676,0.4734238088130951
-2.1393203735351562,-0.3508765995502472,0.47388318181037903
-2.1383121013641357,-0.3585406541824341,0.47431686520576477
-2.1371283531188965,-0.3659822642803192,0.4748322069644928
-2.1362357139587402,-0.37133991718292236,0.47550639510154724
-2.135174512863159,-0.37818169593811035,0.4769339859485626
-2.134117841720581,-0.38481611013412476,0.4786914885044098
-2.133356809616089,-0.38967710733413696,0.4801746606826782
-2.132538080215454,-0.3960236608982086,0.4825100004673004
-2.131891965866089,-0.4019622802734375,0.4854135513305664
-2.1311111450195312,-0.40771162509918213,0.488338440656662
-2.130544662475586,-0.4120631515979767,0.49052250385284424
-2.1299667358398438,-0.417848140001297,0.49353253841400146
-2.1296050548553467,-0.42352133989334106,0.49643397331237793
-2.1293790340423584,-0.42773255705833435,0.49841931462287903
-2.129140853881836,-0.4333009719848633,0.5010446906089783
-2.12872314453125,-0.4388508200645447,0.5033642053604126
-2.128244161605835,-0.44298386573791504,0.5046631693840027
-2.1277074813842773,-0.4483531713485718,0.5057938098907471
-2.127216339111328,-0.4537085294723511,0.5064170360565186
-2.126753330230713,-0.45761603116989136,0.5066490769386292
-2.1258270740509033,-0.4625651240348816,0.5065048933029175
-2.124638557434082,-0.4674321711063385,0.505859375
-2.1230804920196533,-0.47199463844299316,0.5045590400695801
-2.121687412261963,-0.4753090739250183,0.5034899711608887
-2.119492769241333,-0.47961151599884033,0.5020357966423035
-2.116748094558716,-0.48346349596977234,0.5005525350570679
-2.1143057346343994,-0.48622050881385803,0.4994696080684662
-2.1105799674987793,-0.48990270495414734,0.49809443950653076
-2.10642671585083,-0.49339136481285095,0.4965877830982208
-2.1018033027648926,-0.49651288986206055,0.49468278884887695
-2.0966906547546387,-0.4996744394302368,0.492832750082016
-2.09248948097229,-0.5020460486412048,0.49165651202201843
-2.0864369869232178,-0.5051414966583252,0.4904361665248871
-2.0817060470581055,-0.507387638092041,0.4898708462715149
-2.074852466583252,-0.5102329254150391,0.4893708825111389
-2.0674965381622314,-0.5129658579826355,0.4891166090965271
-2.059860944747925,-0.5158507227897644,0.4891391694545746
-2.0538876056671143,-0.5178322792053223,0.4892462193965912
-2.0455729961395264,-0.5204939246177673,0.4895865023136139
-2.0369319915771484,-0.5231833457946777,0.4902237355709076
-2.0303497314453125,-0.5251639485359192,0.4908619523048401
-2.021181106567383,-0.5275152921676636,0.4912679195404053
-2.011718988418579,-0.5297431945800781,0.4912661015987396
-2.004542350769043,-0.5314280390739441,0.49123355746269226
-1.994823694229126,-0.5336224436759949,0.49123242497444153
-1.9848521947860718,-0.5355194211006165,0.49120625853538513
-1.9646751880645752,-0.5389989614486694,0.491509348154068
-1.9570162296295166,-0.5402352213859558,0.49156343936920166
-1.946882963180542,-0.5418410897254944,0.4915313422679901
-1.9392781257629395,-0.5430047512054443,0.49149999022483826
-1.9290691614151,-0.5445255637168884,0.49147891998291016
-1.9189846515655518,-0.5458834171295166,0.4916057288646698
-1.9089499711990356,-0.5471163392066956,0.4916415810585022
-1.8987592458724976,-0.5483124852180481,0.4912381172180176
-1.8910917043685913,-0.5492475032806396,0.49088531732559204
-1.8810261487960815,-0.5504748821258545,0.4904496669769287
-1.8734593391418457,-0.5512508749961853,0.489972859621048
-1.8632986545562744,-0.5521500706672668,0.48909419775009155
-1.853159785270691,-0.5531702637672424,0.4882848560810089
-1.8431602716445923,-0.5542740821838379,0.48756423592567444
-1.8357585668563843,-0.5551307201385498,0.48708152770996094
-1.8259769678115845,-0.5562557578086853,0.48658451437950134
-1.8161942958831787,-0.5574048161506653,0.48621222376823425
